Site,Hole,Core,Sector,Depth in core,Depth mbsf,age,GDGT-0 - 1302,GDGT-1 - 1300,GDGT-2 - 1298,GDGT-3 - 1296,GDGT-4 - 1296,GDGT-4' - 1296',1050,1036,1022,sum iso-GDGT,[gdgt0],[gdgt-1],[gdgt-2],[gdgt-3],[cren],[cren'],TEX,SST TEX L (0-200m),SST TEX L (0m),BIT,Methan index,GDGT2/GDGT3,GDGT-0/cren,Ring index,delta R
U1356,A,40R,1W,20-22,373.4,16.43,4.19E+07,4.19E+06,4.01E+06,2.83E+05,2.28E+07,1.36E+06,8.59E+06,1.23E+07,1.05E+07,7.45E+07,0.56,0.06,0.05,0.00,0.31,0.02,0.57,,,0.6,0.26,0.93,1.84,1.47,0.77
U1356,A,41R,2W,20-22,384.5,16.63,1.86E+08,2.05E+07,1.29E+07,1.87E+06,1.87E+08,7.67E+06,8.15E+06,6.95E+06,2.21E+05,4.16E+08,0.45,0.05,0.03,0.00,0.45,0.02,0.52,13.9,17.4,0.1,0.15,0.87,0.99,2.00,0.10
U1356,A,42R,1W,20-22,392.6,16.77,1.86E+08,2.45E+07,1.50E+07,6.83E+06,1.49E+08,9.60E+06,4.04E+06,5.18E+06,1.02E+07,3.91E+08,0.48,0.06,0.04,0.02,0.38,0.02,0.56,11.2,13.8,0.1,0.23,0.69,1.25,1.81,0.39
U1356,A,42R,2W,39-43,394.1,16.8,9.78E+07,9.51E+06,6.82E+06,6.62E+05,6.28E+07,4.17E+06,3.07E+06,2.81E+06,8.37E+06,1.82E+08,0.54,0.05,0.04,0.00,0.35,0.02,0.55,16.0,20.1,0.2,0.20,0.91,1.56,1.61,0.56
U1356,A,43R,1W,27-29,402.3,16.94,5.72E+07,6.55E+06,3.94E+06,4.10E+05,4.57E+07,2.15E+06,2.23E+06,2.00E+06,3.05E+06,1.16E+08,0.49,0.06,0.03,0.00,0.39,0.02,0.50,13.6,17.1,0.1,0.19,0.91,1.25,1.79,0.24
U1356,A,43R,1W,118-122,403.2,16.95,5.83E+07,8.08E+06,6.06E+06,5.41E+05,4.68E+07,3.30E+06,2.41E+06,2.65E+06,4.22E+06,1.23E+08,0.47,0.07,0.05,0.00,0.38,0.03,0.55,16.6,21.0,0.2,0.23,0.92,1.25,1.81,0.37
U1356,A,43R,2W,69-73,404.2,16.97,5.82E+07,5.04E+06,3.80E+06,3.27E+05,2.88E+07,1.82E+06,2.18E+06,2.33E+06,3.32E+06,9.80E+07,0.59,0.05,0.04,0.00,0.29,0.02,0.54,16.7,21.1,0.2,0.23,0.92,2.02,1.39,0.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
